,Comune,Provincia,Regione,Nome,Anno inserimento
451,AFFI,VERONA,Veneto,"Future site of """"Museum Of The War That Never Ha",2014
452,BARDOLINO,VERONA,Veneto,Museo del Vino,2011
453,BARDOLINO,VERONA,Veneto,Museo Sisan,2010
456,COLOGNA VENETA,VERONA,Veneto,Museo civico archeologico di Cologna Veneta La f,2015
458,GARDA,VERONA,Veneto,Museo del Garda,2015
459,LAZISE,VERONA,Veneto,Art Galery,2012
460,LEGNAGO,VERONA,Veneto,Centro Ambientale Archeologico,2014
461,LEGNAGO,VERONA,Veneto,Museo Fondazione Fioron,2014
462,MALCESINE,VERONA,Veneto,Museo del Lago,2010
463,MALCESINE,VERONA,Veneto,Museo storia naturale,2014
464,MALCESINE,VERONA,Veneto,Sala delle Galee,2014
465,MALCESINE,VERONA,Veneto,Sala Gofethe,2014
466,PESCHIERA DEL GARDA,VERONA,Veneto,Museo della Pesca,2010
467,RIVOLI VERONESE,VERONA,Veneto,Napoleonic Monument,2015
468,RONCA',VERONA,Veneto,Museo Paleontologico Roncà,2012
469,SAN BONIFACIO,VERONA,Veneto,museo civico geopaleontologico,2015
470,SAN BONIFACIO,VERONA,Veneto,museo delle guerre mondiali,2015
471,VELO VERONESE,VERONA,Veneto,Museo Geopantologico di Camposilvano,2013
472,VERONA,VERONA,Veneto,Centro Internazionale di fotografia Scavi Scalig,2014
473,VERONA,VERONA,Veneto,GAM,2014
474,VERONA,VERONA,Veneto,Museo africano,2016
475,VERONA,VERONA,Veneto,Museo di Castelvecchio,2014
476,VERONA,VERONA,Veneto,Museo di Storia Naturale,2015
477,VERONA,VERONA,Veneto,Museo e pinacoteca Canonicale,2014
478,VERONA,VERONA,Veneto,Museo lapidario Maffeiano,2015
479,VESTENANOVA,VERONA,Veneto,Museo dei Fossili di Bolca,2014
480,VESTENANOVA,VERONA,Veneto,Pesciara di Bolca,2009
481,ASIAGO,VICENZA,Veneto,Museo dell'acqua,2013
482,ASIAGO,VICENZA,Veneto,Museo della Grande Guerra 15 - 18 di Sasso,2010
483,BASSANO DEL GRAPPA,VICENZA,Veneto,Museo Civico,2011
484,BASSANO DEL GRAPPA,VICENZA,Veneto,Museo Degli Alpini,2015
485,BASSANO DEL GRAPPA,VICENZA,Veneto,Museo della Ceramica,2012
486,BASSANO DEL GRAPPA,VICENZA,Veneto,Museo della Grappa Poli,2015
487,BASSANO DEL GRAPPA,VICENZA,Veneto,Museo Remondini,2012
488,BASSANO DEL GRAPPA,VICENZA,Veneto,Palazzo Bonaguro Naturalistico,2013
489,BASSANO DEL GRAPPA,VICENZA,Veneto,Urban Center,2012
490,CHIUPPANO,VICENZA,Veneto,Museo della Grande Guerra,2015
492,LUGO DI VICENZA,VICENZA,Veneto,Museo dei Fossili di Lonedo,2014
493,MALO,VICENZA,Veneto,Casa Bianca,2014
494,MALO,VICENZA,Veneto,Della serica e della laterizia,2014
495,MONTECCHIO MAGGIORE,VICENZA,Veneto,Galleria Civica,2014
496,MONTECCHIO MAGGIORE,VICENZA,Veneto,Garage Storico Magazzini Comunali,2015
497,MONTECCHIO MAGGIORE,VICENZA,Veneto,Museo Civico G. Zannato,2014
498,MONTECCHIO MAGGIORE,VICENZA,Veneto,Museo Forze Armate,2014
499,MONTEGALDA,VICENZA,Veneto,Museo Veneto delle Campane,2013
500,NOVE,VICENZA,Veneto,Museo della Ceramica,2012
501,ROMANO D'EZZELINO,VICENZA,Veneto,Museo Dell'automobile Bonfanti,2011
502,ROTZO,VICENZA,Veneto,Museo storico Grande Guerra 15-18,2013
503,SANTORSO,VICENZA,Veneto,Museo arecheologico,2013
504,SAN VITO DI LEGUZZANO,VICENZA,Veneto,Museo etnografico sulla lavorazione del legno,2009
505,SCHIO,VICENZA,Veneto,Spazio espositivo Lanificio Conte,2015
506,SOSSANO,VICENZA,Veneto,Museo Civico Storia-Memoria,2015
507,VALLI DEL PASUBIO,VICENZA,Veneto,Museo antichi mestieri,2010
508,VICENZA,VICENZA,Veneto,Basilica Palladiana,2013
509,VICENZA,VICENZA,Veneto,Gallerie di palazzo Leoni Montanari,2015
510,VICENZA,VICENZA,Veneto,Museo Civico,2015
511,VICENZA,VICENZA,Veneto,Museo del Risorgimento e della Resistenza,2015
512,VICENZA,VICENZA,Veneto,Museo diocesano,2015
513,VICENZA,VICENZA,Veneto,Museo Naturalistico Archeologico,2014
514,ALANO DI PIAVE,BELLUNO,Veneto,Museo civico e territoriale,2015
515,ARSIE',BELLUNO,Veneto,Casa Maddalozzo,2014
516,BELLUNO,BELLUNO,Veneto,Museo civico,2016
517,CESIOMAGGIORE,BELLUNO,Veneto,Museo Etnografico,2015
518,CIBIANA DI CADORE,BELLUNO,Veneto,Museo del Ferro,2015
519,COMELICO SUPERIORE,BELLUNO,Veneto,Algudnei - Spazi per la cultura ladina del Comel,2015
521,LOZZO DI CADORE,BELLUNO,Veneto,Museo della Latteria,2010
522,PERAROLO DI CADORE,BELLUNO,Veneto,Museo del Cidolo,2015
523,PIEVE DI CADORE,BELLUNO,Veneto,Museo dell'Occhiale,2012
525,SEREN DEL GRAPPA,BELLUNO,Veneto,Centro di educazione ambientale Valpora,2013
527,LONGARONE,BELLUNO,Veneto,"Museo """"Pietre Vive""""",2013
528,LONGARONE,BELLUNO,Veneto,Museo Vajont,2013
529,ASOLO,TREVISO,Veneto,Museo Civico,2011
530,CASTELFRANCO VENETO,TREVISO,Veneto,Casa Giorgione,2013
531,CASTELFRANCO VENETO,TREVISO,Veneto,Ingresso Torre Civica,2015
532,CONEGLIANO,TREVISO,Veneto,Museo degli Alpini,2012
533,CONEGLIANO,TREVISO,Veneto,Museo del Caffè,2012
534,CORNUDA,TREVISO,Veneto,Tipoteca Italiana,2010
535,CRESPANO DEL GRAPPA,TREVISO,Veneto,Museo Botanico,2011
536,MONTEBELLUNA,TREVISO,Veneto,Museo di Storia Naturale e Archeologia,2015
537,ODERZO,TREVISO,Veneto,"Museo Archeologico """"Eno Bellis""""",2014
538,ODERZO,TREVISO,Veneto,Museo Brandolini Rota,2012
539,ODERZO,TREVISO,Veneto,Pinacoteca,2013
541,POSSAGNO,TREVISO,Veneto,Museo Archeologico,2012
542,SAN ZENONE DEGLI EZZELINI,TREVISO,Veneto,Museo Barchessa Villa Rubelli,2011
543,SUSEGANA,TREVISO,Veneto,Museo dell'uomo,2011
544,TREVISO,TREVISO,Veneto,Museo Casa dei Carraresi,2015
545,TREVISO,TREVISO,Veneto,Museo Civico Luigi Bailo,2015
546,TREVISO,TREVISO,Veneto,Museo diocesano di arte sacra,2016
547,TREVISO,TREVISO,Veneto,Santa Caterina,2010
548,TREVISO,TREVISO,Veneto,Spazio Paraggi,2014
549,VITTORIO VENETO,TREVISO,Veneto,Museo del Cenedese,2014
550,VITTORIO VENETO,TREVISO,Veneto,"Museo diocesano d'Arte Sacra """"Albino Luciani""""",2014
551,VITTORIO VENETO,TREVISO,Veneto,Museo fondazione Minuccio Minucci,2014
552,CAMPAGNA LUPIA,CITTA' METROPOLITANA DI VENEZIA,Veneto,Museo Archeologico di Santa Maria di Lugo,2015
553,MEOLO,CITTA' METROPOLITANA DI VENEZIA,Veneto,Centro Pavanello,2012
554,PRAMAGGIORE,CITTA' METROPOLITANA DI VENEZIA,Veneto,Museo Etnografico di Belfiore,2013
555,QUARTO D'ALTINO,CITTA' METROPOLITANA DI VENEZIA,Veneto,Museo Archeologico Nazionale di Altino,2011
556,SALZANO,CITTA' METROPOLITANA DI VENEZIA,Veneto,Museo San Pio X,2012
557,SAN DONA' DI PIAVE,CITTA' METROPOLITANA DI VENEZIA,Veneto,Museo Della Bonifica,2015
558,STRA,CITTA' METROPOLITANA DI VENEZIA,Veneto,Museo Rossimoda della Calzatura,2013
561,VENEZIA,CITTA' METROPOLITANA DI VENEZIA,Veneto,Collezione Peggy Guggenheim,2014
563,VENEZIA,CITTA' METROPOLITANA DI VENEZIA,Veneto,Fondazione Querini Stampalia,2013
565,VENEZIA,CITTA' METROPOLITANA DI VENEZIA,Veneto,Fondazione Solomon R. Guggenheim,2014
567,VENEZIA,CITTA' METROPOLITANA DI VENEZIA,Veneto,Giardini della Biennale,2013
569,VENEZIA,CITTA' METROPOLITANA DI VENEZIA,Veneto,Museo archeologico,2013
571,VENEZIA,CITTA' METROPOLITANA DI VENEZIA,Veneto,Museo civico di storia naturale,2014
573,VENEZIA,CITTA' METROPOLITANA DI VENEZIA,Veneto,Museo del Merletto di Burano,2016
575,VENEZIA,CITTA' METROPOLITANA DI VENEZIA,Veneto,Museo del Vetro,2015
577,VENEZIA,CITTA' METROPOLITANA DI VENEZIA,Veneto,Museo Diocesano,2013
579,VENEZIA,CITTA' METROPOLITANA DI VENEZIA,Veneto,Museo Ebraico,2008
581,VENEZIA,CITTA' METROPOLITANA DI VENEZIA,Veneto,Museo Navale,2012
583,ABANO TERME,PADOVA,Veneto,"Museo Internazionale della Maschera """"Amleto e D",2013
584,BORGORICCO,PADOVA,Veneto,Museo della Centuriazione Romana,2014
585,CARCERI,PADOVA,Veneto,Museo della Civiltà Contadina,2013
586,CERVARESE SANTA CROCE,PADOVA,Veneto,Museo del Fiume Bacchiglione,2013
587,GALZIGNANO TERME,PADOVA,Veneto,Museo dei Colli Euganei,2015
588,MONSELICE,PADOVA,Veneto,Lapidario Romano,2013
589,MONSELICE,PADOVA,Veneto,"Museo delle macchine Termiche """"Orazio e Giulia",2013
590,MONSELICE,PADOVA,Veneto,Museo Missionario Francescano,2013
591,MONTAGNANA,PADOVA,Veneto,Museo Civico ?Antonio Giacomelli?,2013
593,PADOVA,PADOVA,Veneto,Museo di Astronomia,2011
594,PADOVA,PADOVA,Veneto,Museo di Mineralogia,2011
595,PADOVA,PADOVA,Veneto,Museo di Paleontologia,2011
596,PADOVA,PADOVA,Veneto,Museo di Storia della Fisica,2012
598,TEOLO,PADOVA,Veneto,"Museo di Arte Contemporanea """"Dino Formaggio""""",2013
599,URBANA,PADOVA,Veneto,Museo delle Antiche Vie,2013
600,ADRIA,ROVIGO,Veneto,Museo Archeologico,2015
601,ADRIA,ROVIGO,Veneto,Septem Mària Museum,2015
602,ARIANO NEL POLESINE,ROVIGO,Veneto,Centro Turistico Culturale San Basilio di Ariano,2015
603,BADIA POLESINE,ROVIGO,Veneto,Museo civico Antonio Eugenio Baruffaldi,2013
604,FRATTA POLESINE,ROVIGO,Veneto,Ecomuseo Mulino Pizzon,2015
605,FRATTA POLESINE,ROVIGO,Veneto,Museo Archeologico Nazionale,2014
606,ROVIGO,ROVIGO,Veneto,Museo dei Grandi Fiumi,2016
607,ROVIGO,ROVIGO,Veneto,Pescheria,2012
608,TAGLIO DI PO,ROVIGO,Veneto,Museo Regionale della Bonifica di Ca' Vendramin,2014
609,PORTO VIRO,ROVIGO,Veneto,La Chiesetta,2011
610,PORTO VIRO,ROVIGO,Veneto,Museo della Corte di Ca' Capello,2015
